Time,Pressure,Position_X,Position_Y,Position_Z
0.0,0,0.0,20.0,5.551115123125783e-17
1.0,500,0.04606966100990795,20.021069687626067,-5.6483768375081844e-05
2.0,1000,0.09190030073254023,20.041921889284207,-0.00011914525062636794
3.0,1500,0.13767770574303712,20.06269068790024,-0.00019093153529478601
4.0,2000,0.18338144318462896,20.083365096821474,-0.00027136047785056294
5.0,2500,0.22901487599787723,20.10394671478866,-0.00036023602985132963
6.0,3000,0.2745806751687452,20.1244364265212,-0.00045736001518928426
7.0,3500,0.3200815350242255,20.144835145039877,-0.0005625561901620169
8.0,4000,0.36552009033879446,20.165143740633415,-0.0006756646442930836
9.0,4500,0.4108989215561467,20.18536304777954,-0.0007965412497988322
10.0,5000,0.4562205569930998,20.205493866061804,-0.0009250569172698231
11.0,5500,0.5014874751985446,20.22553696165049,-0.001061096985031429
12.0,6000,0.546702107152736,20.24549306870454,-0.001204560682273842
13.0,6500,0.5918668383348216,20.26536289075274,-0.0013553606594439715
14.0,7000,0.6369840106748232,20.285147102045713,-0.0015134225771947507
15.0,7500,0.682055924405152,20.304846348877664,-0.001678684746899306
16.0,8000,0.7270848398249594,20.324461250876478,-0.0018510978168273795
17.0,8500,0.7720729789891589,20.343992402261033,-0.0020306244989167777
18.0,9000,0.8170225273323717,20.363440373064762,-0.0022172393320109562
19.0,9500,0.8619356352370053,20.3828057103249,-0.0024109284779863516
20.0,10000,0.906814419553351,20.402088939236855,-0.002611689547857815
21.0,10500,0.9516609650788415,20.421290564273594,-0.0028195314555254647
22.0,11000,0.9964773260025369,20.440411070269803,-0.0030344742970916105
23.0,11500,1.0412655273203464,20.4594509234711,-0.0032565492542457886
24.0,12000,1.0860275662257208,20.478410572548388,-0.0034857985204989894
25.0,12500,1.1307654134800158,20.49729044957794,-0.003722275249201157
26.0,13000,1.1754810147662844,20.516090970987545,-0.003966043522763973
27.0,13500,1.2201762920297803,20.53481253846958,-0.004217178342563882
28.0,14000,1.2648531448081826,20.55345553986157,-0.004475765639198992
29.0,14500,1.3095134515541316,20.57202034999521,-0.004741902303070034
30.0,15000,1.3541590709525786,20.590507331514818,-0.005015696235298073
31.0,15500,1.398791843235174,20.60891683566607,-0.005297266419139884
32.0,16000,1.4434135914937183,20.627249203056305,-0.005586743012302331
33.0,16500,1.4880261229947278,20.645504764387418,-0.005884267460497611
34.0,17000,1.5326312304969143,20.663683841162573,-0.006189992632916086
35.0,17500,1.5772306935735192,20.68178674636793,-0.006504082980174325
36.0,18000,1.6218262799412024,20.69981378513082,-0.006826714715600368
37.0,18500,1.6664197467973823,20.717765255355484,-0.007158076020703785
38.0,19000,1.7110128421678341,20.73564144833788,-0.007498367275878187
39.0,19500,1.7556073062664663,20.753442649360824,-0.007847801317330094
40.0,20000,1.8002048728691857,20.771169138271013,-0.008206603721627681
41.0,20500,1.8448072707039493,20.78882119003918,-0.008575013119048597
42.0,21000,1.889416224859068,20.806399075304896,-0.008953281537346564
43.0,21500,1.934033458212161,20.82390306090762,-0.009341674777427561
44.0,22000,1.9786606928819992,20.841333410405284,-0.009740472822755752
45.0,22500,2.023299651705935,20.858690384581998,-0.010149970284398346
46.0,23000,2.0679520597455743,20.875974241946455,-0.010570476883760144
47.0,23500,2.112619645823636,20.893185239222596,-0.011002317975301157
48.0,24000,2.157304144095089,20.91032363183406,-0.011445835111687647
49.0,24500,2.2020072956559815,20.927389674384102,-0.011901386654040225
50.0,25000,2.246730850193428,20.944383621132605,-0.012369348430257221
51.0,25500,2.2914765676807662,20.961305726471963,-0.012850114444508592
52.0,26000,2.336246220121888,20.9781562454035,-0.013344097641415031
53.0,26500,2.3810415933492486,20.994935434016327,-0.013851730728682565
54.0,27000,2.425864488880359,21.011643549970437,-0.014373467062305773
55.0,27500,2.470716725837869,21.028280852986082,-0.01490978159878728
56.0,28000,2.515600142938795,21.044847605341428,-0.01546117191938809
57.0,28500,2.5605166005588744,21.06134407238062,-0.016028159331642172
58.0,29000,2.605467982878477,21.077770523034552,-0.016611290054099004
59.0,29500,2.6504562001170076,21.094127230356726,-0.017211136490698803
60.0,30000,2.6954831908632846,21.110414472076698,-0.01782829860177859
61.0,30500,2.740550924510039,21.12663253117381,-0.01846340537948854
62.0,31000,2.7856614038011127,21.142781696474167,-0.019117116436051684
63.0,31500,2.8308166675010495,21.158862263273832,-0.01979012371413813
64.0,32000,2.876018793197024,21.174874533991694,-0.02048315332974282
65.0,32500,2.9212699002443747,21.190818818855472,-0.021196967558604562
66.0,33000,2.9665721528675695,21.206695436624944,-0.021932366978766632
67.0,33500,3.0119277634297057,21.2225047153565,-0.022690192782838153
68.0,34000,3.057338995884399,21.238246993213707,-0.02347132927514159
69.0,34500,3.1028081694255647,21.25392261932904,-0.02427670657036582
70.0,35000,3.148337662351406,21.269531954722215,-0.025107303512154316
71.0,35500,3.1939299161606027,21.28507537328145,-0.02596415083222328
72.0,36000,3.2395874399002214,21.30055326281429,-0.02684833457239527
73.0,36500,3.285312814786349,21.315966026175573,-0.027760999794854413
74.0,37000,3.331108699120398,21.331314082480898,-0.028703354608451442
75.0,37500,3.376977833525885,21.346597868414786,-0.02967667454203854
76.0,38000,3.422923046532489,21.361817839644026,-0.030682307299440686
77.0,38500,3.468947260536653,21.376974472347488,-0.03172167793439046
78.0,39000,3.515053498169918,21.392068264875785,-0.03279629448839885
79.0,39500,3.5612448891091875,21.40709973955482,-0.0339077541394773
80.0,40000,3.607524677365051,21.422069444650013,-0.03505774991513039
81.0,40500,3.6538962290878074,21.436977956509406,-0.03624807802960142
