Time,Pressure,Position_X,Position_Y,Position_Z,Angle
0.202,16.70136,-0.0205270394261648,22.3383931743144,-0.0284412229034492,-15.9066837259352
0.203,16.78404,-0.0205000686790607,22.352490508129,-0.0287804498651314,-15.9999920984971
0.204,16.86672,-0.0204720624176108,22.3666154620845,-0.0291223955644101,-16.0934861731577
0.205,16.9494,-0.0204430240701333,22.3807680736074,-0.0294670779390372,-16.1871666187994
0.206,17.03208,-0.0204129571090909,22.3949483798527,-0.0298145150739927,-16.2810341040335
0.207,17.11476,-0.0203818650522132,22.4091564176963,-0.0301647252015762,-16.3750892971466
0.208,17.19744,-0.0203497514635663,22.4233922237273,-0.0305177267016166,-16.4693328660476
0.209,17.28012,-0.0203166199546402,22.4376558342403,-0.0308735381017571,-16.5637654782114
0.21,17.3628,-0.0202824741854407,22.4519472852274,-0.0312321780776377,-16.6583878006251
0.211,17.44548,-0.0202473178656195,22.4662666123701,-0.0315936654528986,-16.7532004997286
0.212,17.52816,-0.020211154755432,22.4806138510315,-0.0319580191995637,-16.848204241359
0.213,17.61084,-0.0201739886670896,22.4949890362478,-0.0323252584381906,-16.9433996906912
0.214,17.69352,-0.0201358234655913,22.5093922027201,-0.0326954024379057,-17.0387875121782
0.215,17.7762,-0.0200966630700145,22.5238233848062,-0.0330684706165848,-17.1343683694899
0.216,17.85888,-0.020056511454563,22.5382826165118,-0.0334444825410687,-17.2301429254526
0.217,17.94156,-0.0200153726496757,22.5527699314822,-0.0338234579272237,-17.3261118419859
0.218,18.02424,-0.0199732507431339,22.5672853629933,-0.0342054166400764,-17.4222757800383
0.219,18.10692,-0.0199301498811811,22.5818289439431,-0.0345903786939617,-17.5186353995242
0.22,18.1896,-0.0198860742696864,22.5964007068426,-0.0349783642525351,-17.6151913592566
0.221,18.27228,-0.0198410281751825,22.6110006838071,-0.0353693936289324,-17.7119443168814
0.222,18.35496,-0.0197950159260202,22.6256289065466,-0.0357634872858738,-17.8088949288095
0.223,18.43764,-0.0197480419135544,22.640285406357,-0.0361606658356579,-17.9060438501482
0.224,18.52032,-0.0197001105931391,22.6549702141108,-0.0365609500402876,-18.003391734631
0.225,18.603,-0.0196512264853992,22.6696833602475,-0.0369643608114324,-18.1009392345467
0.226,18.68568,-0.0196013941772055,22.684424874764,-0.0373709192105727,-18.1986870006683
0.227,18.76836,-0.0195506183229239,22.6991947872055,-0.037780646449008,-18.2966356821794
0.228,18.85104,-0.0194989036454379,22.7139931266551,-0.0381935638877455,-18.3947859266
0.229,18.93372,-0.0194462549373504,22.7288199217246,-0.038609693037685,-18.4931383797116
0.23,19.0164,-0.0193926770621246,22.743675200544,-0.0390290555594761,-18.5916936854812
0.231,19.09908,-0.0193381749551123,22.758558990752,-0.0394516732636107,-18.6904524859839
0.232,19.18176,-0.0192827536247252,22.7734713194855,-0.0398775681102623,-18.7894154213238
0.233,19.26444,-0.019226418153619,22.7884122133696,-0.040306762209306,-18.8885831295555
0.234,19.34712,-0.0191691736997122,22.803381698507,-0.0407392778203108,-18.9879562466026
0.235,19.4298,-0.0191110254974086,22.8183798004678,-0.04117513735237,-19.0875354061764
0.236,19.51248,-0.0190519788586201,22.8334065442788,-0.0416143633641076,-19.1873212396929
0.237,19.59516,-0.0189920391739178,22.8484619544128,-0.0420569785635176,-19.287314376189
0.238,19.67784,-0.0189312119137058,22.8635460547782,-0.0425030058078772,-19.3875154422367
0.239,19.76052,-0.0188695026292459,22.8786588687075,-0.0429524681035875,-19.4879250618575
0.24,19.8432,-0.0188069169538028,22.8938004189469,-0.0434053886061203,-19.5885438564342
0.241,19.92588,-0.0187434606037765,22.908970727645,-0.043861790619734,-19.6893724446233
0.242,20.00856,-0.0186791393797533,22.9241698163416,-0.0443216975974082,-19.7904114422642
0.243,20.09124,-0.0186139591676582,22.9393977059565,-0.0447851331405996,-19.891661462289
0.244,20.17392,-0.0185479259397882,22.954654416778,-0.0452521209991384,-19.9931231146302
0.245,20.2566,-0.0184810457559843,22.9699399684516,-0.0457226850708225,-20.0947970061276
0.246,20.33928,-0.0184133247646243,22.9852543799681,-0.0461968494013292,-20.1966837404332
0.247,20.42196,-0.018344769203791,23.0005976696524,-0.0466746381839712,-20.2987839179167
