Time,Pressure_1,Pressure_2,Pressure_3,Position_X,Position_Y,Position_Z
0,0,0,0,1.38777878078145E-17,60,0
0.001,0.08268,0,0,9.73357091350602E-05,60.0071655773829,0.000102680002868394
0.002,0.16536,0,0,0.000272846618227782,60.0191622497911,0.000291586817219969
0.003,0.24804,0,0,0.000547687484365469,60.0314457347251,0.000579291004760507
0.004,0.33072,0,0,0.000943486374204855,60.0425006135302,0.000978860874418896
0.005,0.4134,0,0,0.00145395768167163,60.052830119809,0.00148449676283924
0.006,0.49608,0,0,0.00205557229969636,60.0631070507364,0.00207648147809114
0.007,0.57876,0,0,0.00271839159944802,60.0735539164954,0.00272765270061925
0.008,0.66144,0,0,0.00341043038450319,60.0841092077548,0.00340772593974759
0.009,0.74412,0,0,0.00410033640404377,60.0946798569831,0.00408677191496609
0.01,0.8268,0,0,0.0047603619307334,60.1052322131379,0.00473837861830717
0.011,0.90948,0,0,0.00536918192854971,60.115773189208,0.0053422895571229
0.012,0.99216,0,0,0.00591379542446105,60.1263155837948,0.00588613554436535
0.013,1.07484,0,0,0.00639016751956296,60.1368644502702,0.00636602964608712
0.014,1.15752,0,0,0.00680266392348859,60.1474190906874,0.00678604326523913
0.015,1.2402,0,0,0.00716253363518114,60.1579778044821,0.00715677466869402
0.016,1.32288,0,0,0.00748576441818528,60.1685399093102,0.00749331553255284
0.017,1.40556,0,0,0.00779064459739365,60.1791055464918,0.00781294029710644
0.018,1.48824,0,0,0.00809534716915417,60.1896750265225,0.00813282165286189
0.019,1.57092,0,0,0.00841581223076336,60.2002485242959,0.00846803120745754
0.02,1.6536,0,0,0.00876413982069006,60.2108260880915,0.00883002220472107
0.021,1.73628,0,0,0.00914762251383564,60.221407724908,0.00922571458791399
0.022,1.81896,0,0,0.00956845686105896,60.2319934437808,0.0096572194152722
0.023,1.90164,0,0,0.0100240877386197,60.242583257087,0.01012216021866
0.024,1.98432,0,0,0.0105080702582621,60.2531771714725,0.0106144832490208
0.025,2.067,0,0,0.0110112866236512,60.2637751851094,0.011125603489174
0.026,2.14968,0,0,0.011523332947957,60.2743772913748,0.0116457118758962
0.027,2.23236,0,0,0.012033893049886,60.2849834841311,0.0121650709833303
0.028,2.31504,0,0,0.0125339394390292,60.2955937616941,0.0126751483773014
0.029,2.39772,0,0,0.0130166408861682,60.3062081290242,0.0131694739069874
0.03,2.4804,0,0,0.0134779046998811,60.3168265985972,0.0136441531817459
0.031,2.56308,0,0,0.0139165332587276,60.3274491903432,0.0140980179195187
0.032,2.64576,0,0,0.0143340221062628,60.3380759308324,0.0145324387741892
0.033,2.72844,0,0,0.0147340658093944,60.3487068518479,0.0149508628028467
0.034,2.81112,0,0,0.0151218642767115,60.3593419885446,0.0153581626323305
0.035,2.8938,0,0,0.0155033346843503,60.3699813774502,0.0157598960952804
0.036,2.97648,0,0,0.0158843327661247,60.3806250545583,0.0161615738266705
0.037,3.05916,0,0,0.0162699738011766,60.3912730537268,0.0165680197416851
0.038,3.14184,0,0,0.0166641211852304,60.4019254055321,0.0169828882784174
0.039,3.22452,0,0,0.017069082712725,60.4125821366571,0.0174083762672456
0.04,3.3072,0,0,0.0174855255242419,60.4232432698236,0.0178451399349104
0.041,3.38988,0,0,0.0179125936830514,60.4339088242088,0.0182924022391842
0.042,3.47256,0,0,0.0183481904525943,60.4445788162367,0.0187482151854476
0.043,3.55524,0,0,0.0187893725192185,60.4552532606002,0.0192098278419072
0.044,3.63792,0,0,0.0192327965440484,60.4659321713565,0.0196741042863432
0.045,3.7206,0,0,0.0196751593904836,60.4766155629565,0.0201379365522727
0.046,3.80328,0,0,0.0201135811146855,60.4873034510892,0.0205986048186313
0.047,3.88596,0,0,0.0205458926051166,60.4979958532693,0.021054049000415
0.048,3.96864,0,0,0.0209708055051439,60.5086927891317,0.0215030305819043
0.049,4.05132,0,0,0.021387958547914,60.519394280441,0.0219451789324598
0.05,4.134,0,0,0.0217978496433737,60.5301003508537,0.0223809305663194
0.051,4.21668,0,0,0.0222016753534477,60.5408110254956,0.0228113813257328
0.052,4.29936,0,0,0.0226011076722219,60.5515263304272,0.0232380792568337
0.053,4.38204,0,0,0.0229980418043632,60.5622462920754,0.0236627895452911
0.054,4.46472,0,0,0.0233943480010559,60.5729709367004,0.0240872623691334
0.055,4.5474,0,0,0.0237916560724747,60.5837002899568,0.0245130304635022
0.056,4.63008,0,0,0.0241911939273676,60.5944343765874,0.0249412564825148
0.057,4.71276,0,0,0.0245936925875112,60.6051732202689,0.0253726419929242
0.058,4.79544,0,0,0.0249993608299037,60.6159168436079,0.0258074012953521
0.0590000000000001,4.87812,0,0,0.0254079240615062,60.6266652682689,0.0262452953007399
0.06,4.9608,0,0,0.0258187151449172,60.6374185152006,0.026685714244701
0.0610000000000001,5.04348,0,0,0.0262308002773912,60.6481766049213,0.0271277936701618
0.062,5.12616,0,0,0.0266431209487813,60.6589395578202,0.0275705461051348
0.063,5.20884,0,0,0.0270546334043267,60.6697073944384,0.0280129911578619
0.064,5.29152,0,0,0.0274644295703442,60.6804801356962,0.0284542690313017
0.065,5.3742,0,0,0.0278718275095322,60.6912578030491,0.0288937262161333
0.066,5.45688,0,0,0.0282764244860725,60.7020404185637,0.0293309667357271
0.067,5.53956,0,0,0.0286781109397187,60.7128280049142,0.0297658671454164
0.068,5.62224,0,0,0.029077048456567,60.7236205853126,0.0301985579393802
0.0690000000000001,5.70492,0,0,0.0294736186703288,60.7344181833888,0.0306293776175272
0.07,5.7876,0,0,0.0298683525963097,60.7452208230423,0.0310588080955607
